series_id,match_id,game_number,season,split,regional,stage,round,team,player_name,unique_id,best_of,source_file
3f9bbd6349c4b463a475d982a9461a02,20230224-183149-2022-23-Winter-Invitational-Groups-2-G2,2,2022-23,Winter,Invitational,Groups,2,NIXUH,arceonxnz,SSA-P-10002,5,2022-23 Season Database - 22-23 Season.csv
3f9bbd6349c4b463a475d982a9461a02,20230224-183149-2022-23-Winter-Invitational-Groups-2-G2,2,2022-23,Winter,Invitational,Groups,2,NIXUH,"Lowkaku, Mr.Low",SSA-P-10039,5,2022-23 Season Database - 22-23 Season.csv
3f9bbd6349c4b463a475d982a9461a02,20230224-183149-2022-23-Winter-Invitational-Groups-2-G2,2,2022-23,Winter,Invitational,Groups,2,NIXUH,SkillSteal,SSA-P-10053,5,2022-23 Season Database - 22-23 Season.csv
4ac37e7ef597fb22811df6336d2c677d,20240303-190619-2024-Major 1-Open Qualifier 3-Playoffs-SF-G1,1,2024,Major 1,Open Qualifier 3,Playoffs,SF,ASTRONIC ESPORTS,Anyeelo.,SSA-P-10142,7,2024 Season Database - 2024 Major 1.csv
4ac37e7ef597fb22811df6336d2c677d,20240303-190619-2024-Major 1-Open Qualifier 3-Playoffs-SF-G1,1,2024,Major 1,Open Qualifier 3,Playoffs,SF,ASTRONIC ESPORTS,atR Mario.,SSA-P-10143,7,2024 Season Database - 2024 Major 1.csv
4ac37e7ef597fb22811df6336d2c677d,20240303-190619-2024-Major 1-Open Qualifier 3-Playoffs-SF-G1,1,2024,Major 1,Open Qualifier 3,Playoffs,SF,ASTRONIC ESPORTS,Bairechuu,SSA-P-10144,7,2024 Season Database - 2024 Major 1.csv
4ac37e7ef597fb22811df6336d2c677d,20240303-190619-2024-Major 1-Open Qualifier 3-Playoffs-SF-G1,1,2024,Major 1,Open Qualifier 3,Playoffs,SF,LIMITLESS,"smoothoperator, 2Die4",SSA-P-10001,7,2024 Season Database - 2024 Major 1.csv
4ac37e7ef597fb22811df6336d2c677d,20240303-190619-2024-Major 1-Open Qualifier 3-Playoffs-SF-G1,1,2024,Major 1,Open Qualifier 3,Playoffs,SF,LIMITLESS,Snowyy,SSA-P-10054,7,2024 Season Database - 2024 Major 1.csv
4ac37e7ef597fb22811df6336d2c677d,20240303-190619-2024-Major 1-Open Qualifier 3-Playoffs-SF-G1,1,2024,Major 1,Open Qualifier 3,Playoffs,SF,LIMITLESS,Sweaty,SSA-P-10056,7,2024 Season Database - 2024 Major 1.csv
653d85a9eac15c2217ffd9b9a2356321,20220506-181610-2021-22-Spring-Regional Event 1-Double Elim-UQF-G2,2,2021-22,Spring,Regional Event 1,Double Elim,UQF,DIGITAL DEVILS,Auriginal,SSA-P-10003,5,2021-22 Season Database - 2021-22 Season (1).csv
